"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1851","Clayton Kershaw",474832,"SL|FF","In play, out(s)","95.5","58.61"
"1852","Clayton Kershaw",605509,"NULL","Ball","null","null"
"1853","Clayton Kershaw",605509,"CU|FF","Foul","null","42.49"
"1854","Clayton Kershaw",605509,"FF|FF","Swinging Strike","null","null"
"1855","Clayton Kershaw",605509,"FF|SL","Called Strike","null","null"
"1856","Clayton Kershaw",607776,"NULL","Swinging Strike","null","null"
"1857","Clayton Kershaw",607776,"SL|SL","Swinging Strike","null","null"
"1858","Clayton Kershaw",607776,"SL|FF","Ball","null","null"
"1859","Clayton Kershaw",607776,"FF|SL","Foul","null","null"
"1860","Clayton Kershaw",607776,"SL|SL","Foul","null","68.71"
"1861","Clayton Kershaw",607776,"SL|FF","Foul","null","null"
"1862","Clayton Kershaw",607776,"FF|FF","Ball","null","null"
"1863","Clayton Kershaw",607776,"FF|SL","Ball","null","null"
"1864","Clayton Kershaw",607776,"SL|FF","In play, out(s)","86.1","5.28"
"1865","Clayton Kershaw",453923,"NULL","In play, out(s)","null","null"
"1866","Clayton Kershaw",474832,"NULL","Ball","null","null"
"1867","Clayton Kershaw",474832,"CU|FF","Foul","null","28.98"
"1868","Clayton Kershaw",474832,"FF|SL","Called Strike","null","null"
"1869","Clayton Kershaw",474832,"SL|FF","Ball","null","null"
"1870","Clayton Kershaw",474832,"FF|CU","In play, out(s)","35.3","-53.03"
"1871","Clayton Kershaw",605509,"NULL","Ball","null","null"
"1872","Clayton Kershaw",605509,"FF|FF","Ball","null","null"
"1873","Clayton Kershaw",605509,"FF|FF","Called Strike","null","null"
"1874","Clayton Kershaw",605509,"FF|SL","Swinging Strike","null","null"
"1875","Clayton Kershaw",605509,"SL|SL","In play, out(s)","null","null"
"1876","Clayton Kershaw",452655,"NULL","Called Strike","null","null"
"1877","Clayton Kershaw",452655,"FF|CU","In play, out(s)","101.2","-8.64"
"1878","Clayton Kershaw",434636,"NULL","Called Strike","null","null"
"1879","Clayton Kershaw",434636,"FF|FF","Foul","null","null"
"1880","Clayton Kershaw",434636,"FF|SL","In play, no out","89.7","9.67"
"1881","Clayton Kershaw",457763,"NULL","Swinging Strike","null","null"
"1882","Clayton Kershaw",457763,"SL|CU","In play, out(s)","98.1","42.91"
"1883","Clayton Kershaw",452254,"NULL","Ball","null","null"
"1884","Clayton Kershaw",452254,"FF|FF","Ball","null","null"
"1885","Clayton Kershaw",452254,"FF|SL","Ball","null","null"
"1886","Clayton Kershaw",452254,"SL|FF","Ball","null","null"
"1887","Clayton Kershaw",622110,"NULL","Ball In Dirt","null","null"
"1888","Clayton Kershaw",622110,"SL|FF","Ball","null","null"
