"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"349","Jeanmar Gomez",435062,"SI|SI","Called Strike","null","null"
"352","Jeanmar Gomez",435062,"SI|SI","Called Strike","null","null"
"353","Jeanmar Gomez",435062,"SI|SI","In play, no out","90.9","15.31"
"358","Jeanmar Gomez",571771,"SI|SI","Called Strike","null","null"
"359","Jeanmar Gomez",571771,"SI|SI","Called Strike","null","null"
"366","Jeanmar Gomez",502210,"SL|CH","In play, out(s)","80.6","-14.13"
"369","Jeanmar Gomez",477165,"CH|SI","Called Strike","null","null"
"371","Jeanmar Gomez",477165,"CH|CH","Foul","null","null"
"373","Jeanmar Gomez",543105,"CH|CH","Called Strike","null","null"
"374","Jeanmar Gomez",543105,"CH|CH","In play, out(s)","85.7","10.04"
"375","Jeanmar Gomez",543105,"CH|SI","Called Strike","null","null"
"376","Jeanmar Gomez",543105,"SI|SI","Foul","null","null"
"379","Jeanmar Gomez",518466,"SL|SI","In play, no out","102.3","8.32"
"382","Jeanmar Gomez",477165,"CH|SI","In play, no out","95.1","7.35"
"384","Jeanmar Gomez",542194,"SI|SL","In play, out(s)","null","null"
"387","Jeanmar Gomez",519083,"SI|FF","Called Strike","null","null"
"389","Jeanmar Gomez",452254,"SI|SI","Called Strike","null","null"
"390","Jeanmar Gomez",452254,"SI|SI","Swinging Strike","null","null"
"392","Jeanmar Gomez",543063,"SI|CH","Called Strike","null","null"
"396","Jeanmar Gomez",543063,"CH|SI","Foul","null","null"
"397","Jeanmar Gomez",543063,"SI|SI","Foul","null","null"
"403","Jeanmar Gomez",457763,"SL|SI","Called Strike","null","null"
"404","Jeanmar Gomez",457763,"SI|SI","Foul","null","null"
"405","Jeanmar Gomez",457763,"SI|SI","Foul","null","null"
"406","Jeanmar Gomez",457763,"SI|SI","In play, out(s)","85.1","7.46"
"408","Jeanmar Gomez",493596,"SI|CH","Swinging Strike","null","null"
"409","Jeanmar Gomez",493596,"CH|SI","Called Strike","null","null"
"413","Jeanmar Gomez",611177,"SL|SI","Called Strike","null","null"
"414","Jeanmar Gomez",611177,"SI|CH","In play, out(s)","81","-20.72"
"416","Jeanmar Gomez",455976,"CH|SI","Called Strike","null","null"
"417","Jeanmar Gomez",455976,"SI|SI","In play, out(s)","90.3","30.6"
"423","Jeanmar Gomez",518692,"SI|SI","Called Strike","null","null"
"424","Jeanmar Gomez",518692,"SI|CH","In play, no out","81.5","-19.23"
