"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"454","Ross Ohlendorf",518792,"CH|FF","In play, no out","63.1","13.24"
"456","Ross Ohlendorf",600869,"CH|FF","Foul","null","null"
"460","Ross Ohlendorf",595879,"SL|SL","Foul","null","null"
"461","Ross Ohlendorf",595879,"SL|CH","Called Strike","null","null"
"463","Ross Ohlendorf",595879,"CH|SL","Called Strike","null","null"
"466","Ross Ohlendorf",434628,"FF|FF","In play, no out","103.6","-6.13"
"467","Ross Ohlendorf",434628,"FF|FF","Swinging Strike","null","null"
"468","Ross Ohlendorf",434628,"FF|FF","Swinging Strike","null","null"
"472","Ross Ohlendorf",467092,"SL|SL","In play, no out","80.7","18.57"
"473","Ross Ohlendorf",467092,"SL|SL","Called Strike","null","null"
"475","Ross Ohlendorf",519184,"CH|FF","Foul","null","null"
"476","Ross Ohlendorf",519184,"FF|FF","In play, out(s)","74.3","48.76"
"480","Ross Ohlendorf",150029,"FT|SL","Called Strike","null","null"
"486","Ross Ohlendorf",547180,"FF|CH","Swinging Strike","null","null"
"487","Ross Ohlendorf",547180,"CH|FF","In play, out(s)","95","48.71"
"489","Ross Ohlendorf",502517,"CH|CH","Called Strike","null","null"
"490","Ross Ohlendorf",502517,"CH|SL","Swinging Strike","null","null"
"493","Ross Ohlendorf",543685,"FF|FF","Foul","null","null"
"494","Ross Ohlendorf",543685,"FF|FF","Foul","null","null"
"495","Ross Ohlendorf",543685,"FF|SL","Called Strike","null","null"
"496","Ross Ohlendorf",543685,"SL|SL","Swinging Strike","null","null"
"499","Ross Ohlendorf",475582,"FF|SL","In play, out(s)","105.3","-4.31"
"507","Ross Ohlendorf",467092,"FF|CH","In play, out(s)","83.6","-34.03"
"509","Ross Ohlendorf",467092,"SL|CH","Swinging Strike","null","null"
"512","Ross Ohlendorf",595879,"SL|SL","Swinging Strike","null","null"
"513","Ross Ohlendorf",595879,"SL|SL","Called Strike","null","null"
"516","Ross Ohlendorf",519333,"FF|FF","Foul","null","null"
"520","Ross Ohlendorf",605218,"FF|FF","Foul","null","null"
"521","Ross Ohlendorf",605218,"FF|FF","Swinging Strike","null","null"
"524","Ross Ohlendorf",608365,"FF|FF","Foul","null","null"
"525","Ross Ohlendorf",608365,"FF|FF","In play, out(s)","69.5","48.57"
"527","Ross Ohlendorf",458085,"FF|FF","Foul","null","null"
"528","Ross Ohlendorf",458085,"FF|FF","Foul","null","null"
"529","Ross Ohlendorf",458085,"FF|FF","Called Strike","null","null"
"530","Ross Ohlendorf",458085,"FF|CH","Called Strike","null","null"
"532","Ross Ohlendorf",458085,"FF|CH","Swinging Strike","null","null"
"535","Ross Ohlendorf",475243,"FF|FF","Called Strike","null","null"
"537","Ross Ohlendorf",475243,"FF|FF","Foul","null","null"
"538","Ross Ohlendorf",475243,"FF|SL","Called Strike","null","null"
