"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1878","Tyler Chatwood",572008,"FT|FT","In play, out(s)","83.4","33.81"
"1880","Tyler Chatwood",605151,"FF|FF","Called Strike","null","null"
"1883","Tyler Chatwood",516416,"CU|FC","Swinging Strike","null","null"
"1884","Tyler Chatwood",516416,"FC|FT","In play, out(s)","87.8","-32.93"
"1886","Tyler Chatwood",502671,"FF|FC","Swinging Strike","null","null"
"1888","Tyler Chatwood",502671,"FC|FT","Called Strike","null","null"
"1893","Tyler Chatwood",571875,"FF|FF","Foul","null","null"
"1895","Tyler Chatwood",571875,"FF|FF","Called Strike","null","null"
"1898","Tyler Chatwood",456078,"FC|FC","Called Strike","null","null"
"1899","Tyler Chatwood",456078,"FC|FC","Foul","null","null"
"1900","Tyler Chatwood",456078,"FC|FC","Swinging Strike","null","null"
"1902","Tyler Chatwood",605113,"FC|FC","Called Strike","null","null"
"1904","Tyler Chatwood",605151,"FC|FF","Foul","null","null"
"1906","Tyler Chatwood",605151,"FF|FF","Foul","null","null"
"1907","Tyler Chatwood",605151,"FF|FF","Called Strike","null","null"
"1908","Tyler Chatwood",605151,"FF|FF","Foul","null","null"
"1909","Tyler Chatwood",605151,"FF|FC","Foul","null","null"
"1911","Tyler Chatwood",605151,"FF|FF","Called Strike","null","null"
"1913","Tyler Chatwood",516416,"FF|FC","Called Strike","null","null"
"1917","Tyler Chatwood",592273,"FC|FF","Called Strike","null","null"
"1925","Tyler Chatwood",543302,"FF|FC","In play, run(s)","94","30.99"
"1926","Tyler Chatwood",543302,"FC|FT","Foul","null","null"
"1930","Tyler Chatwood",605113,"FT|FC","Foul","null","null"
"1931","Tyler Chatwood",605113,"FC|CH","Called Strike","null","null"
"1933","Tyler Chatwood",605113,"FT|FC","Swinging Strike","null","null"
"1935","Tyler Chatwood",516416,"FC|FC","Foul","null","null"
"1937","Tyler Chatwood",592273,"FT|FC","Called Strike","null","null"
"1938","Tyler Chatwood",592273,"FC|FT","In play, out(s)","null","null"
"1941","Tyler Chatwood",543302,"FF|FF","Foul","null","null"
"1943","Tyler Chatwood",543302,"FT|FF","In play, out(s)","98.3","-15.5"
"1946","Tyler Chatwood",543302,"FT|FF","Foul","null","null"
"1949","Tyler Chatwood",543302,"FF|FF","Foul","null","null"
"1950","Tyler Chatwood",543302,"FF|FT","In play, out(s)","92.3","-23.95"
"1952","Tyler Chatwood",605151,"FF|FF","Called Strike","null","null"
"1955","Tyler Chatwood",605113,"FC|FT","Foul (Runner Going)","null","null"
"1956","Tyler Chatwood",605113,"FT|FC","Foul (Runner Going)","null","null"
"1957","Tyler Chatwood",605113,"FC|FC","Swinging Strike","null","null"
"1958","Tyler Chatwood",605113,"FC|FT","Foul","null","null"
"1960","Tyler Chatwood",605113,"FC|FT","In play, out(s)","98.6","-3.6"
"1967","Tyler Chatwood",571976,"FC|FF","Called Strike","null","null"
"1969","Tyler Chatwood",571976,"FT|FC","Swinging Strike","null","null"
"1972","Tyler Chatwood",477165,"FF|FF","Foul","null","null"
"1973","Tyler Chatwood",477165,"FF|CU","Swinging Strike (Blocked)","null","null"
"1975","Tyler Chatwood",477165,"FF|FT","Foul","null","null"
"1977","Tyler Chatwood",425834,"FT|CH","Called Strike","null","null"
