pitch_type,player_name,batter
FT,Carlos Martinez,628356
FT,Carlos Martinez,628356
CH,Carlos Martinez,444379
CU,Carlos Martinez,444379
FF,Carlos Martinez,444379
FF,Carlos Martinez,444379
CH,Carlos Martinez,446481
CU,Carlos Martinez,446481
CU,Carlos Martinez,446481
FF,Carlos Martinez,593700
CU,Carlos Martinez,593700
CU,Carlos Martinez,593700
CU,Carlos Martinez,593700
FT,Carlos Martinez,593700
CH,Carlos Martinez,593700
FT,Carlos Martinez,518700
FT,Carlos Martinez,518700
CU,Carlos Martinez,518700
CU,Carlos Martinez,605137
CU,Carlos Martinez,605137
FF,Carlos Martinez,605137
FF,Carlos Martinez,605137
CH,Carlos Martinez,605137
FF,Carlos Martinez,570256
FF,Carlos Martinez,570256
FF,Carlos Martinez,570256
CU,Carlos Martinez,570256
FF,Carlos Martinez,570256
CU,Carlos Martinez,628356
FT,Carlos Martinez,628356
CH,Carlos Martinez,628356
FT,Carlos Martinez,446481
FT,Carlos Martinez,446481
FT,Carlos Martinez,446481
FT,Carlos Martinez,593700
FT,Carlos Martinez,593700
CH,Carlos Martinez,593700
FT,Carlos Martinez,518700
FT,Carlos Martinez,518700
CH,Carlos Martinez,518700
CU,Carlos Martinez,518700
CU,Carlos Martinez,459964
CH,Carlos Martinez,459964
FF,Carlos Martinez,459964
CH,Carlos Martinez,459964
FF,Carlos Martinez,607192
FF,Edwin Jackson,516416
CU,Edwin Jackson,516416
CH,Edwin Jackson,516416
FF,Edwin Jackson,516416
FF,Edwin Jackson,516416
FF,Edwin Jackson,571875
CU,Edwin Jackson,571875
FF,Edwin Jackson,571875
SL,Edwin Jackson,502671
SL,Edwin Jackson,502671
SL,Edwin Jackson,502671
SL,Edwin Jackson,456078
SL,Edwin Jackson,456078
FF,Edwin Jackson,456078
FF,Edwin Jackson,456078
SL,Edwin Jackson,456078
CH,Edwin Jackson,592273
SL,Edwin Jackson,592273
FF,Edwin Jackson,592273
SL,Edwin Jackson,592273
FF,Edwin Jackson,572008
CH,Edwin Jackson,572008
FF,Edwin Jackson,572008
FF,Edwin Jackson,572008
FF,Edwin Jackson,593647
SL,Edwin Jackson,593647
FF,Edwin Jackson,593647
SL,Edwin Jackson,593647
FF,Edwin Jackson,571745
FF,Edwin Jackson,640463
FF,Edwin Jackson,640463
FF,Edwin Jackson,640463
FF,Edwin Jackson,516416
SL,Edwin Jackson,516416
FF,Edwin Jackson,516416
CU,Edwin Jackson,516416
CH,Edwin Jackson,516416
FF,Edwin Jackson,516416
FF,Edwin Jackson,516416
SL,Edwin Jackson,516416
CU,Edwin Jackson,571875
FF,Edwin Jackson,571875
SL,Edwin Jackson,571875
FF,Edwin Jackson,571875
FF,Edwin Jackson,571875
SL,Edwin Jackson,571875
FF,Edwin Jackson,502671
SL,Edwin Jackson,502671
SL,Edwin Jackson,502671
FF,Edwin Jackson,456078
SL,Edwin Jackson,456078
FF,Edwin Jackson,456078
SL,Edwin Jackson,456078
FF,Edwin Jackson,456078
CH,Edwin Jackson,592273
FF,Edwin Jackson,592273
SL,Edwin Jackson,592273
FF,Edwin Jackson,592273
FF,Edwin Jackson,592273
FF,Edwin Jackson,592273
SL,Edwin Jackson,592273
SL,Edwin Jackson,572008
SL,Edwin Jackson,572008
SL,Edwin Jackson,572008
FF,Edwin Jackson,572008
SL,Edwin Jackson,593647
FF,Edwin Jackson,593647
FF,Edwin Jackson,593647
CU,Edwin Jackson,593647
SL,Edwin Jackson,593647
SL,Edwin Jackson,571745
FF,Edwin Jackson,571745
FF,Edwin Jackson,571745
FF,Edwin Jackson,571745
FF,Edwin Jackson,640463
CH,Edwin Jackson,640463
FF,Edwin Jackson,640463
SL,Edwin Jackson,516416
SL,Edwin Jackson,571875
SL,Edwin Jackson,571875
FF,Edwin Jackson,571875
SL,Edwin Jackson,571875
FF,Edwin Jackson,502671
FF,Edwin Jackson,502671
FF,Edwin Jackson,456078
FF,Edwin Jackson,456078
FF,Edwin Jackson,456078
CU,Edwin Jackson,456078
FF,Edwin Jackson,456078
FF,Edwin Jackson,592273
SL,Edwin Jackson,572008
FF,Edwin Jackson,572008
SL,Edwin Jackson,572008
SL,Edwin Jackson,593647
CU,Edwin Jackson,593647
SL,Edwin Jackson,593647
CH,Carlos Martinez,444379
CU,Carlos Martinez,444379
CU,Carlos Martinez,444379
CH,Carlos Martinez,444379
SL,Nate Jones,500871
FT,Nate Jones,500871
SL,Nate Jones,500871
SL,Nate Jones,500871
CU,Carlos Martinez,628356
CU,Carlos Martinez,628356
CU,Carlos Martinez,628356
FT,Carlos Martinez,628356
CU,Carlos Martinez,628356
FT,Carlos Martinez,570256
FT,Carlos Martinez,457705
FT,Carlos Martinez,457705
CU,Carlos Martinez,457705
CU,Carlos Martinez,457705
SL,Heath Hembree,516770
CU,Heath Hembree,516770
FF,Heath Hembree,544369
FF,Heath Hembree,544369
SL,Heath Hembree,452104
SL,Heath Hembree,452104
CU,Heath Hembree,452104
FF,Heath Hembree,452104
FF,Heath Hembree,452104
SL,Heath Hembree,596142
FF,Heath Hembree,596142
SL,Heath Hembree,596142
SI,Jeanmar Gomez,607054
SI,Jeanmar Gomez,607054
SI,Jeanmar Gomez,607054
SL,Jeanmar Gomez,621020
SI,Jeanmar Gomez,621020
SI,Jeanmar Gomez,621020
CH,Jeanmar Gomez,621020
SI,Jeanmar Gomez,621020
SL,Jeanmar Gomez,621020
SI,Jeanmar Gomez,621020
SI,Jeanmar Gomez,621020
SI,Jeanmar Gomez,518692
SI,Jeanmar Gomez,518692
SI,Jeanmar Gomez,518692
SL,Jeanmar Gomez,518692
SI,Jeanmar Gomez,518692
SI,Jeanmar Gomez,461314
SI,Jeanmar Gomez,461314
IN,Jeanmar Gomez,455976
IN,Jeanmar Gomez,455976
IN,Jeanmar Gomez,455976
IN,Jeanmar Gomez,455976
SI,Jeanmar Gomez,489232
SI,Jeanmar Gomez,489232
CH,Jeanmar Gomez,547004
CH,Jeanmar Gomez,547004
CH,Doug Fister,452234
CH,Doug Fister,452234
FT,Doug Fister,452234
FF,Doug Fister,452234
FT,Doug Fister,429664
FF,Doug Fister,429664
FT,Doug Fister,429664
FF,Doug Fister,429664
FT,Doug Fister,443558
