"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"1899","Doug Fister",462101,"FC|FC","Swinging Strike","null","null"
"1902","Doug Fister",519048,"FF|CU","Swinging Strike","null","null"
"1904","Doug Fister",519048,"CU|CU","Swinging Strike","null","null"
"1908","Doug Fister",592419,"FT|CU","Foul","null","null"
"1909","Doug Fister",592419,"CU|FT","Foul","null","null"
"1910","Doug Fister",592419,"FT|FT","Foul","null","null"
"1911","Doug Fister",592419,"FT|FT","Hit","76.1","-6.79"
"1912","Doug Fister",592419,"FT|CU","Strike","null","null"
"1913","Doug Fister",592419,"CU|CU","Swinging Strike","null","null"
"1914","Doug Fister",592419,"CU|FT","Foul","null","null"
"1918","Doug Fister",134181,"CU|FF","Hit","null","null"
"1919","Doug Fister",134181,"FF|FF","Strike","null","null"
"1923","Doug Fister",592419,"FT|FT","Hit","87.6","65.54"
"1927","Doug Fister",502143,"FT|CH","Swinging Strike","null","null"
"1928","Doug Fister",502143,"CH|FC","Foul","null","null"
"1931","Doug Fister",502143,"FF|FF","Strike","null","null"
"1934","Doug Fister",458085,"FT|CU","Swinging Strike","null","null"
"1935","Doug Fister",458085,"CU|FT","Strike","null","null"
"1938","Doug Fister",424825,"FC|FF","Strike","null","null"
"1940","Doug Fister",424825,"FT|CU","Swinging Strike","null","null"
"1944","Doug Fister",543760,"FF|FT","Foul","null","null"
"1945","Doug Fister",543760,"FT|FT","Foul","null","null"
"1947","Doug Fister",543760,"FF|FT","Strike","null","null"
"1952","Doug Fister",519390,"CU|FC","Foul","null","null"
"1954","Doug Fister",519390,"FF|CH","Strike","null","null"
"1955","Doug Fister",519390,"CH|FF","Foul","null","null"
"1958","Doug Fister",519390,"FT|FC","Foul","null","null"
"1959","Doug Fister",519390,"FC|CU","Hit","78.4","28.23"
"1960","Doug Fister",519390,"CU|FT","Strike","null","null"
"1963","Doug Fister",476704,"CU|FF","Foul","null","null"
"1964","Doug Fister",476704,"FF|FF","Strike","null","null"
"1965","Doug Fister",476704,"FF|FT","Hit","97.9","19.23"
"1968","Doug Fister",475174,"FT|FF","Hit","103","-10.65"
"1970","Doug Fister",475174,"FT|FT","Strike","null","null"
"1972","Doug Fister",502143,"FF|FT","Strike","null","null"
"1976","Doug Fister",424825,"FT|FF","Foul","null","null"
"1978","Doug Fister",424825,"FF|CH","Swinging Strike","null","null"
"1979","Doug Fister",424825,"CH|CH","Hit","80.6","30.85"
"1981","Doug Fister",475174,"FC|CH","Hit","104.4","16.84"
"1985","Doug Fister",501981,"FF|FF","Strike","null","null"
"1987","Doug Fister",519390,"FT|FT","Hit","79.5","35.58"
"1988","Doug Fister",519390,"FT|FT","Strike","null","null"
"1991","Doug Fister",476704,"FC|FT","Foul","null","null"
"1992","Doug Fister",476704,"FT|FF","Hit","96.6","30.26"
"1996","Doug Fister",542993,"CU|FC","Hit","73.8","-43.58"
"1997","Doug Fister",542993,"FC|FF","Foul","null","null"
"1998","Doug Fister",542993,"FF|FF","Foul","null","null"
"2001","Doug Fister",519295,"FT|FF","Foul","null","null"
"2005","Doug Fister",519295,"FF|FF","Hit","99.6","-0.3"
"2007","Doug Fister",475174,"FF|FF","Foul","null","null"
"2010","Doug Fister",543760,"FC|FT","Foul","null","null"
"2011","Doug Fister",543760,"FT|FF","Foul","null","null"
"2012","Doug Fister",543760,"FF|FT","Foul","null","null"
"2013","Doug Fister",543760,"FT|FC","Foul","null","null"
"2014","Doug Fister",543760,"FC|FT","Foul","null","null"
"2015","Doug Fister",543760,"FT|FT","Hit","89","-24.93"
"2016","Doug Fister",543760,"FT|FF","Strike","null","null"
"2017","Doug Fister",543760,"FF|FT","Foul","null","null"
"2020","Doug Fister",543760,"FC|CU","Foul","null","null"
"2021","Doug Fister",543760,"CU|FF","Foul","null","null"
"2022","Doug Fister",543760,"FF|FT","Foul","null","null"
"2023","Doug Fister",543760,"FT|FF","Foul","null","null"
"2024","Doug Fister",543760,"FF|FC","Foul","null","null"
"2025","Doug Fister",543760,"FC|CU","Foul","null","null"
"2028","Doug Fister",501981,"FC|FF","Strike","null","null"
"2029","Doug Fister",501981,"FF|FT","Hit","79.2","-33.16"
"2030","Doug Fister",501981,"FT|FF","Strike","null","null"
"2034","Doug Fister",501981,"FF|FF","Strike","null","null"
"2036","Doug Fister",488862,"FF|FC","Strike","null","null"
"2038","Doug Fister",488862,"FF|FT","Hit","62.8","-14.32"
"2041","Doug Fister",545361,"FF|FT","Strike","null","null"
"2045","Doug Fister",405395,"FT|FF","Swinging Strike","null","null"
"2046","Doug Fister",405395,"FF|FF","Strike","null","null"
"2047","Doug Fister",405395,"FF|FT","Strike","null","null"
"2053","Doug Fister",460060,"FT|FF","Strike","null","null"
"2057","Doug Fister",460060,"FC|FT","Strike","null","null"
"2063","Doug Fister",543068,"FC|FT","Strike","null","null"
"2064","Doug Fister",543068,"FT|FC","Strike","null","null"
